id,date,time,strategy,spx,vix,strikes,entry_credit,exit_credit,pl,pl_per_contract,position_size,duration_min,reason,wl,balance,cumulative_pnl,peak,drawdown,month
1,2025-01-16,10:30,OTM-SS,6982.199360440759,14.661735698828815,6930/6920,1.1113585330084688,0.5338341570149577,57.752437599351104,57.752437599351104,1,159,OTM 50% Lock-In Stop (peak 59%),WIN,20057.752437599353,57.752437599351104,10427124.537944537,-10427066.785506938,2025-01
2,2025-01-16,11:30,GEX,6982.199360440759,14.661735698828815,7005,2.9895736027603093,2.452738108816024,53.68354939442854,53.68354939442854,1,47,Trailing Stop (18%),WIN,20111.43598699378,111.43598699377964,10427124.537944537,-10427013.101957543,2025-01
3,2025-01-17,10:30,GEX,7078.0275568774705,16.018591985353957,7180,2.3331455918649184,1.7538035408736112,57.93420509913072,57.93420509913072,1,33,Trailing Stop (25%),WIN,20169.37019209291,169.37019209291037,10427124.537944537,-10426955.167752443,2025-01
4,2025-01-17,11:00,OTM-SS,7078.0275568774705,16.018591985353957,7030/7020,0.9501511594832668,0.4724103255831598,47.774083390010695,47.774083390010695,1,95,OTM 50% Lock-In Stop (peak 67%),WIN,20217.14427548292,217.14427548292107,10427124.537944537,-10426907.393669054,2025-01
5,2025-01-20,10:00,GEX,7100.270544821523,15.48259582986938,7025,2.608092913414909,2.1276768195402536,48.041609387465556,48.041609387465556,1,18,Trailing Stop (18%),WIN,20265.185884870385,265.18588487038664,10427124.537944537,-10426859.352059666,2025-01
6,2025-01-21,10:00,GEX,7277.088118824692,16.001770976035353,7250,2.09093154022126,2.3277928166443362,-23.686127642307618,-23.686127642307618,1,30,Stop Loss (-11%),LOSS,20241.499757228077,241.49975722807903,10427124.537944537,-10426883.038187308,2025-01
7,2025-01-21,11:30,OTM-SS,7277.088118824692,16.001770976035353,7325/7335,0.7437253766964367,0.3729848671208186,37.07405095756181,37.07405095756181,1,154,OTM 50% Lock-In Stop (peak 62%),WIN,20278.57380818564,278.5738081856408,10427124.537944537,-10426845.96413635,2025-01
8,2025-01-22,11:00,GEX,7279.407241820224,16.24415392201778,7180,2.5870695639303407,1.807046292612643,78.00232713176977,78.00232713176977,1,19,Trailing Stop (30%),WIN,20356.57613531741,356.5761353174106,10427124.537944537,-10426767.96180922,2025-01
9,2025-01-23,10:00,OTM-SS,7282.256173522499,15.454008776245745,7330/7340,0.5466607208807606,0.0,54.666072088076056,54.666072088076056,1,308,OTM Hold-to-Expiry: Full Credit Collected,WIN,20411.242207405485,411.2422074054867,10427124.537944537,-10426713.29573713,2025-01
10,2025-01-23,10:30,GEX,7282.256173522499,15.454008776245745,7205,2.3103032565916823,1.6080223222722079,70.22809343194744,70.22809343194744,1,42,Trailing Stop (30%),WIN,20481.47030083743,481.47030083743414,10427124.537944537,-10426643.067643698,2025-01
11,2025-01-23,11:30,GEX,7282.256173522499,15.454008776245745,7205,2.1300012034805818,1.4741976325738557,196.74107127201782,65.5803570906726,3,44,Trailing Stop (31%),WIN,20678.21137210945,678.211372109452,10427124.537944537,-10426446.326572428,2025-01
12,2025-01-24,11:00,OTM-SS,7346.747311410588,13.295327653963373,7395/7405,1.110914701786627,0.523720563987973,176.1582413395962,58.719413779865405,3,71,OTM 50% Lock-In Stop (peak 68%),WIN,20854.369613449046,854.3696134490482,10427124.537944537,-10426270.168331088,2025-01
13,2025-01-24,11:30,GEX,7346.747311410588,13.295327653963373,7320,2.6637146597856045,2.0601987019821277,181.05478734104304,60.35159578034768,3,39,Trailing Stop (23%),WIN,21035.42440079009,1035.424400790091,10427124.537944537,-10426089.113543747,2025-01
