date,entry_time,entry_price,entry_credit,short_symbol,contracts,exit_reason,pnl
2025-01-08,0.0,590.33,1.0,SPX250108C00595000,1,TP (50%),0.5
2025-01-08,0.5,590.67,1.0625,SPX250108C00595000,1,SL,-0.10625000000000001
2025-01-08,1.0,588.15,1.125,SPX250108C00595000,1,TP (50%),0.5625
2025-01-08,1.5,587.94,1.1875,SPX250108C00595000,1,TP (50%),0.59375
2025-01-08,2.0,586.14,1.25,SPX250108C00590000,1,Hold: Worthless,1.25
2025-01-08,2.5,588.01,1.3125,SPX250108C00595000,1,SL,-0.13125
2025-01-08,3.0,588.16,1.375,SPX250108C00595000,1,Hold: Worthless,1.375
2025-01-08,3.5,589.01,1.4375,SPX250108C00595000,1,TP (50%),0.71875
2025-01-10,0.0,587.92,1.0,SPX250110C00595000,1,SL,-0.1
2025-01-10,0.5,588.5,1.0625,SPX250110C00595000,1,Hold: Worthless,1.0625
2025-01-10,1.0,589.27,1.125,SPX250110C00595000,2,SL,-0.225
2025-01-10,1.5,588.0,1.1875,SPX250110C00595000,2,TP (50%),1.1875
2025-01-10,2.0,588.78,1.25,SPX250110C00595000,2,Hold: Worthless,2.5
2025-01-10,2.5,588.06,1.3125,SPX250110C00595000,2,Hold: Worthless,2.625
2025-01-10,3.0,583.94,1.375,SPX250110C00590000,2,Hold: Worthless,2.75
2025-01-10,3.5,585.3,1.4375,SPX250110C00590000,2,SL,-0.28750000000000003
2025-01-13,0.0,575.19,1.0,SPX250113C00580000,2,Hold: Worthless,2.0
2025-01-13,0.5,575.53,1.0625,SPX250113C00580000,2,Hold: Worthless,2.125
2025-01-13,1.0,575.98,1.125,SPX250113C00580000,2,SL,-0.225
2025-01-13,1.5,575.7,1.1875,SPX250113C00580000,2,Hold: Worthless,2.375
2025-01-13,2.0,576.45,1.25,SPX250113C00580000,2,TP (50%),1.25
2025-01-13,2.5,576.76,1.3125,SPX250113C00580000,2,TP (50%),1.3125
2025-01-13,3.0,576.94,1.375,SPX250113C00580000,2,SL,-0.275
2025-01-13,3.5,576.05,1.4375,SPX250113C00580000,2,Hold: Worthless,2.875
2025-01-14,0.0,584.42,1.0,SPX250114C00590000,2,TP (50%),1.0
2025-01-14,0.5,584.13,1.0625,SPX250114C00590000,2,TP (50%),1.0625
2025-01-14,1.0,583.63,1.125,SPX250114C00590000,2,Hold: Worthless,2.25
2025-01-14,1.5,583.01,1.1875,SPX250114C00590000,2,Hold: Worthless,2.375
2025-01-14,2.0,582.4827,1.25,SPX250114C00585000,2,SL,-0.25
2025-01-14,2.5,584.36,1.3125,SPX250114C00590000,2,Hold: Worthless,2.625
2025-01-14,3.0,583.8,1.375,SPX250114C00590000,5,Hold: Worthless,6.875
2025-01-14,3.5,584.43,1.4375,SPX250114C00590000,5,Hold: Worthless,7.1875
2025-01-15,0.0,582.67,1.0,SPX250115C00590000,5,SL,-0.5
2025-01-15,0.5,583.15,1.0625,SPX250115C00590000,5,Hold: Worthless,5.3125
2025-01-15,1.0,584.22,1.125,SPX250115C00590000,5,SL,-0.5625
