symbol,trade_date,entry_time,entry_price,entry_volume,exit_time,exit_price,exit_volume,profit,profit_pct,win
SPXW250312P05410000,2025-03-12,2025-03-12 10:13:00,0.52,1,2025-03-12 15:55:00,0.1,12,0.42000000000000004,80.76923076923077,True
SPXW250312P05415000,2025-03-12,2025-03-12 10:06:00,0.6,1,2025-03-12 16:00:00,0.1,6,0.5,83.33333333333334,True
SPXW250312P05420000,2025-03-12,2025-03-12 09:37:00,0.5,1,2025-03-12 16:00:00,0.1,10,0.4,80.0,True
SPXW250314P05385000,2025-03-14,2025-03-14 09:47:00,0.5,1,2025-03-14 16:00:00,0.05,7,0.45,90.0,True
SPXW250314P05390000,2025-03-14,2025-03-14 10:06:00,0.5,1,2025-03-14 16:00:00,0.07,15,0.43,86.0,True
SPXW250314P05400000,2025-03-14,2025-03-14 09:31:00,0.7,1,2025-03-14 15:59:00,0.11,1,0.59,84.28571428571429,True
SPXW250314P05405000,2025-03-14,2025-03-14 10:32:00,0.87,1,2025-03-14 15:45:00,0.1,5,0.77,88.50574712643679,True
SPXW250314P05410000,2025-03-14,2025-03-14 09:34:00,0.9,1,2025-03-14 16:00:00,0.1,3,0.8,88.8888888888889,True
SPXW250314P05415000,2025-03-14,2025-03-14 09:40:00,0.9,1,2025-03-14 15:45:00,0.15,18,0.75,83.33333333333333,True
SPXW250314P05420000,2025-03-14,2025-03-14 09:37:00,1.1,1,2025-03-14 16:00:00,0.15,1,0.9500000000000001,86.36363636363636,True
SPXW250314P05425000,2025-03-14,2025-03-14 09:39:00,1.25,1,2025-03-14 16:00:00,0.12,1,1.13,90.39999999999999,True
SPXW250331P05360000,2025-03-31,2025-03-31 09:32:00,1.2,1,2025-03-31 15:50:00,0.17,14,1.03,85.83333333333334,True
SPXW250331P05365000,2025-03-31,2025-03-31 09:48:00,1.65,1,2025-03-31 15:45:00,0.2,33,1.45,87.87878787878788,True
SPXW250331P05370000,2025-03-31,2025-03-31 09:30:00,1.55,1,2025-03-31 15:50:00,0.2,5,1.35,87.09677419354838,True
SPXW250331P05375000,2025-03-31,2025-03-31 09:32:00,1.55,1,2025-03-31 16:00:00,0.2,21,1.35,87.09677419354838,True
SPXW250331P05380000,2025-03-31,2025-03-31 09:32:00,1.75,1,2025-03-31 16:00:00,0.17,4,1.58,90.28571428571429,True
SPXW250331P05385000,2025-03-31,2025-03-31 09:30:00,2.0,1,2025-03-31 16:00:00,0.2,1,1.8,90.0,True
SPXW250331P05390000,2025-03-31,2025-03-31 09:30:00,2.2,1,2025-03-31 16:00:00,0.22,2,1.9800000000000002,90.0,True
SPXW250331P05395000,2025-03-31,2025-03-31 09:32:00,2.35,1,2025-03-31 16:00:00,0.22,10,2.13,90.63829787234042,True
SPXW250331P05400000,2025-03-31,2025-03-31 09:30:00,2.65,31,2025-03-31 16:00:00,0.22,13,2.4299999999999997,91.69811320754717,True
SPXW250331P05405000,2025-03-31,2025-03-31 09:30:00,2.9,11,2025-03-31 15:59:00,0.25,1,2.65,91.37931034482759,True
SPXW250331P05410000,2025-03-31,2025-03-31 09:30:00,3.1,4,2025-03-31 16:00:00,0.25,36,2.85,91.93548387096774,True
SPXW250331P05415000,2025-03-31,2025-03-31 09:31:00,3.4,5,2025-03-31 16:00:00,0.3,21,3.1,91.1764705882353,True
SPXW250331P05420000,2025-03-31,2025-03-31 09:36:00,3.8,1,2025-03-31 15:59:00,0.35,40,3.4499999999999997,90.78947368421052,True
SPXW250331P05425000,2025-03-31,2025-03-31 09:30:00,4.3,1,2025-03-31 16:00:00,0.35,8,3.9499999999999997,91.86046511627907,True
SPXW250331P05430000,2025-03-31,2025-03-31 09:32:00,4.5,1,2025-03-31 16:00:00,0.4,24,4.1,91.1111111111111,True
SPXW250331P05435000,2025-03-31,2025-03-31 09:30:00,5.1,1,2025-03-31 16:00:00,0.44,86,4.659999999999999,91.37254901960783,True
SPXW250331P05440000,2025-03-31,2025-03-31 09:31:00,5.6,1,2025-03-31 16:00:00,0.45,37,5.1499999999999995,91.96428571428571,True
SPXW250331P05445000,2025-03-31,2025-03-31 09:37:00,6.5,2,2025-03-31 16:00:00,0.5,18,6.0,92.3076923076923,True
SPXW250331P05450000,2025-03-31,2025-03-31 09:31:00,6.9,1,2025-03-31 16:00:00,0.55,76,6.3500000000000005,92.02898550724638,True
SPXW250331P05455000,2025-03-31,2025-03-31 09:30:00,7.5,1,2025-03-31 16:00:00,0.6,10,6.9,92.0,True
SPXW250331P05460000,2025-03-31,2025-03-31 09:45:00,9.5,3,2025-03-31 16:00:00,0.72,108,8.78,92.42105263157893,True
SPXW250402P05420000,2025-04-02,2025-04-02 10:37:00,0.5,3,2025-04-02 16:00:00,0.05,61,0.45,90.0,True
SPXW250402P05425000,2025-04-02,2025-04-02 10:03:00,0.55,1,2025-04-02 16:00:00,0.05,101,0.5,90.9090909090909,True
SPXW250402P05440000,2025-04-02,2025-04-02 10:02:00,0.7,40,2025-04-02 16:00:00,0.07,1,0.6299999999999999,89.99999999999999,True
SPXW250402P05445000,2025-04-02,2025-04-02 09:57:00,0.55,1,2025-04-02 15:45:00,0.05,7,0.5,90.9090909090909,True
SPXW250402P05450000,2025-04-02,2025-04-02 09:37:00,0.55,1,2025-04-02 15:55:00,0.07,1,0.48000000000000004,87.27272727272727,True
SPXW250402P05455000,2025-04-02,2025-04-02 10:02:00,0.9,8,2025-04-02 16:00:00,0.05,1,0.85,94.44444444444444,True
SPXW250402P05460000,2025-04-02,2025-04-02 09:41:00,0.75,1,2025-04-02 16:00:00,0.1,1,0.65,86.66666666666667,True
SPXW250402P05465000,2025-04-02,2025-04-02 09:33:00,0.9,5,2025-04-02 15:50:00,0.07,1,0.8300000000000001,92.22222222222223,True
SPXW250404C05375000,2025-04-04,2025-04-04 10:32:00,14.1,1,2025-04-04 16:00:00,0.51,4,13.59,96.38297872340425,True
SPXW250404C05380000,2025-04-04,2025-04-04 10:27:00,14.4,1,2025-04-04 16:00:00,0.5,24,13.9,96.52777777777779,True
SPXW250404C05385000,2025-04-04,2025-04-04 10:21:00,14.4,1,2025-04-04 16:00:00,0.45,4,13.950000000000001,96.875,True
SPXW250404C05390000,2025-04-04,2025-04-04 10:20:00,14.9,4,2025-04-04 16:00:00,0.4,6,14.5,97.31543624161073,True
SPXW250404C05395000,2025-04-04,2025-04-04 10:18:00,14.6,1,2025-04-04 16:00:00,0.36,7,14.24,97.53424657534246,True
SPXW250404C05400000,2025-04-04,2025-04-04 10:15:00,15.0,10,2025-04-04 16:00:00,0.3,61,14.7,98.0,True
SPXW250404C05415000,2025-04-04,2025-04-04 10:05:00,15.0,3,2025-04-04 15:59:00,0.22,10,14.78,98.53333333333333,True
SPXW250404C05420000,2025-04-04,2025-04-04 09:31:00,13.0,3,2025-04-04 16:00:00,0.25,2,12.75,98.07692307692307,True
SPXW250404C05425000,2025-04-04,2025-04-04 09:31:00,12.3,1,2025-04-04 16:00:00,0.2,30,12.100000000000001,98.3739837398374,True
SPXW250404C05430000,2025-04-04,2025-04-04 09:31:00,11.3,1,2025-04-04 16:00:00,0.15,31,11.15,98.67256637168141,True
SPXW250404C05440000,2025-04-04,2025-04-04 09:33:00,10.0,6,2025-04-04 16:00:00,0.15,2,9.85,98.5,True
SPXW250404C05445000,2025-04-04,2025-04-04 09:38:00,10.5,1,2025-04-04 16:00:00,0.1,5,10.4,99.04761904761905,True
SPXW250404C05450000,2025-04-04,2025-04-04 09:32:00,7.73,1,2025-04-04 16:00:00,0.12,12,7.61,98.44760672703752,True
SPXW250404C05455000,2025-04-04,2025-04-04 09:53:00,8.0,1,2025-04-04 16:00:00,0.1,9,7.9,98.75,True
SPXW250404C05460000,2025-04-04,2025-04-04 09:34:00,7.3,1,2025-04-04 16:00:00,0.07,2,7.2299999999999995,99.04109589041096,True
SPXW250404C05465000,2025-04-04,2025-04-04 09:35:00,7.4,1,2025-04-04 16:00:00,0.1,1,7.300000000000001,98.64864864864865,True
SPXW250404C05470000,2025-04-04,2025-04-04 09:32:00,4.8,3,2025-04-04 15:59:00,0.07,17,4.7299999999999995,98.54166666666666,True
SPXW250407C05375000,2025-04-07,2025-04-07 10:16:00,0.59,2,2025-04-07 16:00:00,0.58,5,0.010000000000000009,1.6949152542372898,True
SPXW250407C05385000,2025-04-07,2025-04-07 09:30:00,0.5,1,2025-04-07 16:00:00,0.5,3,0.0,0.0,False
SPXW250407C05390000,2025-04-07,2025-04-07 11:33:00,0.65,1,2025-04-07 16:00:00,0.45,2,0.2,30.76923076923077,True
SPXW250407C05400000,2025-04-07,2025-04-07 10:13:00,0.5,1,2025-04-07 16:00:00,0.4,20,0.09999999999999998,19.999999999999996,True
SPXW250407C05410000,2025-04-07,2025-04-07 10:39:00,0.6,2,2025-04-07 16:00:00,0.35,1,0.25,41.66666666666667,True
SPXW250407C05425000,2025-04-07,2025-04-07 10:43:00,0.5,1,2025-04-07 15:55:00,0.4,12,0.09999999999999998,19.999999999999996,True
SPXW250409C05380000,2025-04-09,2025-04-09 09:33:00,0.65,3,2025-04-09 15:45:00,0.12,1,0.53,81.53846153846153,True
SPXW250411C05415000,2025-04-11,2025-04-11 11:49:00,15.0,1,2025-04-11 16:00:00,5.6,3,9.4,62.66666666666667,True
SPXW250411C05420000,2025-04-11,2025-04-11 11:38:00,15.0,1,2025-04-11 16:00:00,5.52,7,9.48,63.2,True
SPXW250411C05425000,2025-04-11,2025-04-11 11:38:00,14.3,5,2025-04-11 15:59:00,5.01,4,9.290000000000001,64.96503496503497,True
SPXW250411C05430000,2025-04-11,2025-04-11 11:31:00,14.6,1,2025-04-11 16:00:00,4.8,30,9.8,67.12328767123287,True
SPXW250411C05435000,2025-04-11,2025-04-11 09:36:00,13.4,1,2025-04-11 16:00:00,4.5,2,8.9,66.4179104477612,True
SPXW250411C05440000,2025-04-11,2025-04-11 09:33:00,11.9,1,2025-04-11 16:00:00,4.2,13,7.7,64.70588235294117,True
SPXW250411C05445000,2025-04-11,2025-04-11 09:31:00,10.9,1,2025-04-11 16:00:00,3.75,10,7.15,65.59633027522936,True
SPXW250411C05450000,2025-04-11,2025-04-11 09:30:00,9.9,7,2025-04-11 16:00:00,3.7,47,6.2,62.62626262626263,True
SPXW250411C05455000,2025-04-11,2025-04-11 09:37:00,10.7,1,2025-04-11 16:00:00,3.2,12,7.499999999999999,70.09345794392523,True
SPXW250411C05460000,2025-04-11,2025-04-11 09:45:00,11.0,1,2025-04-11 16:00:00,3.0,3,8.0,72.72727272727273,True
SPXW250411C05465000,2025-04-11,2025-04-11 09:52:00,11.3,6,2025-04-11 16:00:00,2.87,2,8.43,74.60176991150442,True
SPXW250411C05470000,2025-04-11,2025-04-11 09:33:00,8.3,1,2025-04-11 16:00:00,2.85,27,5.450000000000001,65.66265060240964,True
SPXW250411C05475000,2025-04-11,2025-04-11 09:45:00,9.1,1,2025-04-11 16:00:00,2.5,113,6.6,72.52747252747253,True
SPXW250411C05480000,2025-04-11,2025-04-11 09:35:00,7.2,1,2025-04-11 16:00:00,2.5,10,4.7,65.27777777777779,True
SPXW250414C05490000,2025-04-14,2025-04-14 09:48:00,14.5,1,2025-04-14 16:00:00,1.19,33,13.31,91.79310344827587,True
SPXW250416C05410000,2025-04-16,2025-04-16 09:59:00,13.5,1,2025-04-16 16:00:00,2.57,85,10.93,80.96296296296296,True
SPXW250416C05415000,2025-04-16,2025-04-16 09:59:00,12.9,1,2025-04-16 16:00:00,2.27,70,10.63,82.4031007751938,True
SPXW250416C05420000,2025-04-16,2025-04-16 09:34:00,14.4,1,2025-04-16 16:00:00,1.95,89,12.450000000000001,86.45833333333334,True
SPXW250416C05425000,2025-04-16,2025-04-16 09:31:00,12.6,1,2025-04-16 16:00:00,1.7,44,10.9,86.5079365079365,True
SPXW250416C05430000,2025-04-16,2025-04-16 09:51:00,10.7,1,2025-04-16 16:00:00,1.5,123,9.2,85.98130841121495,True
SPXW250416C05435000,2025-04-16,2025-04-16 09:57:00,9.5,5,2025-04-16 16:00:00,1.35,83,8.15,85.78947368421052,True
SPXW250416C05440000,2025-04-16,2025-04-16 09:32:00,9.3,1,2025-04-16 16:00:00,1.19,45,8.110000000000001,87.20430107526882,True
SPXW250416C05445000,2025-04-16,2025-04-16 09:39:00,8.9,1,2025-04-16 16:00:00,1.1,100,7.800000000000001,87.64044943820225,True
SPXW250416C05455000,2025-04-16,2025-04-16 09:59:00,5.1,1,2025-04-16 16:00:00,0.82,17,4.279999999999999,83.92156862745097,True
SPXW250416C05460000,2025-04-16,2025-04-16 09:41:00,6.3,1,2025-04-16 16:00:00,0.75,77,5.55,88.09523809523809,True
