date,entry_time,entry_price,entry_credit,contracts,exit_reason,pnl
2025-01-08,0.0,590.33,1.0,1,TP (50%),0.5
2025-01-08,0.5,590.67,1.0625,1,TP (50%),0.53125
2025-01-08,1.0,588.15,1.125,1,SL,-0.1125
2025-01-08,1.5,587.94,1.1875,1,Hold: Worthless,1.1875
2025-01-08,2.0,586.14,1.25,1,Hold: Worthless,1.25
2025-01-08,2.5,588.01,1.3125,1,SL,-0.13125
2025-01-08,3.0,588.16,1.375,1,Hold: Worthless,1.375
2025-01-08,3.5,589.01,1.4375,1,SL,-0.14375000000000002
2025-01-10,0.0,587.92,1.0,1,Hold: Worthless,1.0
2025-01-10,0.5,588.5,1.0625,1,Hold: Worthless,1.0625
2025-01-10,1.0,589.27,1.125,2,TP (50%),1.125
2025-01-10,1.5,588.0,1.1875,2,Hold: Worthless,2.375
2025-01-10,2.0,588.78,1.25,2,Hold: Worthless,2.5
2025-01-10,2.5,588.06,1.3125,2,Hold: Worthless,2.625
2025-01-10,3.0,583.94,1.375,2,SL,-0.275
2025-01-10,3.5,585.3,1.4375,2,Hold: Worthless,2.875
2025-01-13,0.0,575.19,1.0,2,Hold: Worthless,2.0
2025-01-13,0.5,575.53,1.0625,2,SL,-0.21250000000000002
2025-01-13,1.0,575.98,1.125,2,Hold: Worthless,2.25
2025-01-13,1.5,575.7,1.1875,2,Hold: Worthless,2.375
2025-01-13,2.0,576.45,1.25,2,TP (50%),1.25
2025-01-13,2.5,576.76,1.3125,2,TP (50%),1.3125
2025-01-13,3.0,576.94,1.375,2,TP (50%),1.375
2025-01-13,3.5,576.05,1.4375,2,Hold: Worthless,2.875
2025-01-14,0.0,584.42,1.0,2,Hold: Worthless,2.0
2025-01-14,0.5,584.13,1.0625,2,SL,-0.21250000000000002
2025-01-14,1.0,583.63,1.125,2,Hold: Worthless,2.25
2025-01-14,1.5,583.01,1.1875,2,SL,-0.23750000000000002
2025-01-14,2.0,582.4827,1.25,2,Hold: Worthless,2.5
2025-01-14,2.5,584.36,1.3125,2,TP (50%),1.3125
2025-01-14,3.0,583.8,1.375,5,TP (50%),3.4375
2025-01-14,3.5,584.43,1.4375,5,SL,-0.7187500000000001
2025-01-15,0.0,582.67,1.0,5,Hold: Worthless,5.0
2025-01-15,0.5,583.15,1.0625,5,Hold: Worthless,5.3125
2025-01-15,1.0,584.22,1.125,5,TP (50%),2.8125
2025-01-15,1.5,584.42,1.1875,5,TP (50%),2.96875
2025-01-15,2.0,584.22,1.25,5,Hold: Worthless,6.25
2025-01-15,2.5,584.46,1.3125,5,Hold: Worthless,6.5625
2025-01-15,3.0,591.06,1.375,5,SL,-0.6875
2025-01-15,3.5,590.29,1.4375,5,TP (50%),3.59375
2025-01-16,0.0,594.23,1.0,5,SL,-0.5
2025-01-16,0.5,594.65,1.0625,5,SL,-0.53125
2025-01-16,1.0,594.33,1.125,5,Hold: Worthless,5.625
2025-01-16,1.5,593.92,1.1875,5,TP (50%),2.96875
2025-01-16,2.0,593.65,1.25,5,TP (50%),3.125
2025-01-16,2.5,592.98,1.3125,5,SL,-0.65625
2025-01-16,3.0,593.15,1.375,5,SL,-0.6875
2025-01-16,3.5,593.69,1.4375,5,TP (50%),3.59375
2025-01-17,0.0,594.0,1.0,5,TP (50%),2.5
