symbol,trade_date,entry_time,close_entry,time_only_entry,volume_entry,exit_time,close_exit,volume_exit,profit,profit_pct,win
SPXW250305P05350000,2025-03-05,12:32,0.05,12:32,25,2025-03-05 15:10:00,0.05,2,0.0,0.0,False
SPXW250305P05360000,2025-03-05,13:59,0.1,13:59,4,2025-03-05 15:39:00,0.03,1,0.07,70.0,True
SPXW250305P05375000,2025-03-05,13:52,0.1,13:52,10,2025-03-05 15:38:00,0.03,2,0.07,70.0,True
SPXW250305P05380000,2025-03-05,13:53,0.1,13:53,2,2025-03-05 15:35:00,0.03,1,0.07,70.0,True
SPXW250305P05390000,2025-03-05,13:11,0.1,13:11,2,2025-03-05 15:35:00,0.05,5,0.05,50.0,True
SPXW250305P05400000,2025-03-05,12:57,0.1,12:57,50,2025-03-05 15:52:00,0.03,1,0.07,70.0,True
SPXW250305P05410000,2025-03-05,12:47,0.1,12:47,88,2025-03-05 16:00:00,0.03,1,0.07,70.0,True
SPXW250307P05350000,2025-03-07,11:46,0.05,11:46,2,2025-03-07 15:42:00,0.05,2,0.0,0.0,False
SPXW250307P05360000,2025-03-07,13:41,0.05,13:41,10,2025-03-07 15:56:00,0.05,4,0.0,0.0,False
SPXW250307P05370000,2025-03-07,13:16,0.1,13:16,63,2025-03-07 15:52:00,0.05,3,0.05,50.0,True
SPXW250307P05390000,2025-03-07,13:30,0.2,13:30,1,2025-03-07 15:50:00,0.05,1,0.15000000000000002,75.00000000000001,True
SPXW250307P05400000,2025-03-07,13:15,0.17,13:15,2,2025-03-07 15:56:00,0.08,95,0.09000000000000001,52.94117647058824,True
SPXW250307P05405000,2025-03-07,13:29,0.15,13:29,4,2025-03-07 15:47:00,0.05,1,0.09999999999999999,66.66666666666666,True
SPXW250307P05410000,2025-03-07,13:28,0.2,13:28,1,2025-03-07 15:54:00,0.1,7,0.1,50.0,True
SPXW250310P05375000,2025-03-10,11:19,0.05,11:19,63,2025-03-10 15:01:00,0.03,2,0.020000000000000004,40.00000000000001,True
SPXW250310P05380000,2025-03-10,11:20,0.05,11:20,31,2025-03-10 15:19:00,0.05,1,0.0,0.0,False
