date,median_credit,mean_credit,sample_size,num_options,month
2025-03-12,0.575,0.5866666666666667,12,3,2025-03
2025-03-14,0.9,0.9077777777777778,108,8,2025-03
2025-03-31,3.4,3.910778325123153,1015,21,2025-03
2025-04-02,0.9,0.9106521739130435,184,10,2025-04
2025-04-04,5.0,5.417194968553459,795,17,2025-04
2025-04-07,0.65,0.6783870967741936,31,6,2025-04
2025-04-11,8.9,8.716610169491524,59,7,2025-04
2025-04-16,3.3,4.179793281653747,387,13,2025-04
2025-04-21,0.55,0.5700000000000001,10,2,2025-04
2025-04-23,4.9,5.3690147058823525,680,11,2025-04
2025-04-25,8.5,8.256212121212121,66,7,2025-04
2025-04-28,5.0,5.304613402061856,388,10,2025-04
2025-04-30,3.5,4.272346570397112,554,15,2025-04
2025-05-02,3.01,3.345350609756098,656,17,2025-05
2025-05-05,1.25,1.2425142857142857,175,11,2025-05
2025-05-07,2.1,2.0224590163934426,305,15,2025-05
2025-05-09,0.5700000000000001,0.6008333333333333,12,6,2025-05
2025-05-23,1.025,1.0280434782608696,92,12,2025-05
